DN sort_id size average sd prov sd_prov sel_id xcoord ycoord
323 1 63 22 0 12 0 323 25.57509392 5.33231303
705 2 93 12 0 12 0 705 25.54860352 5.30580313
830 3 72 12 0 12 0 830 25.55122357 5.29984318
951 4 84 12 0 12 0 951 25.53868853 5.29250769
1717 5 115 12 0 12 0 1717 25.70289216 5.23426619
1747 6 63 12 0 12 0 1747 25.70698711 5.23354524
7758 7 132 22 0 13 0 7758 27.41367111 5.0809749
11024 8 116 22 0 13 0 11024 27.40464669 5.05313702
11443 9 89 22 0 13 0 11443 27.4194357 5.05171707
13184 10 87 22 0 13 0 13184 27.42417618 5.04317021
14042 11 116 22 0 8 0 14042 19.38889004 5.0377086
14485 12 68 22 0 13 0 14485 27.42326141 5.03686894
16683 13 73 22 0 8 0 16683 19.39225694 5.02875428
18369 14 55 22 0 13 0 18369 27.42106581 5.02222834
19770 15 57 22 0 13 0 19770 27.43853652 5.0177582
24261 16 67 22 0 12 0 24261 25.15647876 5.0024444
24262 17 290 22 0 12 0 24262 25.16206595 5.00116021
25414 18 141 22 0 12 0 25414 25.18051396 4.99948243
25157 19 284 22 0 12 0 25157 25.17112265 4.99888801
25773 20 64 12 0 12 0 25773 25.1653894 4.99794186
26771 21 64 22 0 12 0 26771 25.1687046 4.99542805
26177 22 79 22 0 12 0 26177 25.18691524 4.99709696
27061 23 142 22 0 12 0 27061 25.1313161 4.99288566
27173 24 546 22 0 12 0 27173 25.15142205 4.99028889
28303 25 448 22 0 12 0 28303 25.12803474 4.98727986
29537 26 415 22 0 12 0 29537 25.16462135 4.98471417
31482 27 62 12 0 12 0 31482 25.17039824 4.98251164
33273 28 111 22 0 12 0 33273 25.15844082 4.9789956
32843 29 164 12 0 12 0 32843 25.16052741 4.97812858
31471 30 226 22 0 12 0 31471 25.15323684 4.98133525
34225 31 68 22 0 12 0 34225 25.17970065 4.97643826
33491 32 250 22 0 12 0 33491 25.16333388 4.97691024
36349 33 66 22 0 12 0 36349 25.14476179 4.97005644
37402 34 65 22 0 12 0 37402 25.17256057 4.96848324
39805 35 82 22 0 12 0 39805 25.13876767 4.96204085
44030 36 56 22 0 12 0 44030 25.14601523 4.95220582
47761 37 100 12 0 12 0 47761 25.05914433 4.94321318
50353 38 86 12 0 12 0 50353 25.06027375 4.9386379
53673 39 65 22 0 13 0 53673 27.28695355 4.93143511
60759 40 77 22 0 12 0 60759 25.06096902 4.91322195
70503 41 79 12 0 8 0 70503 20.050729 4.89665563
68696 42 226 22 0 12 0 68696 25.064299 4.8985045
74292 43 219 22 0 12 0 74292 25.06902611 4.88883945
79459 44 60 22 0 8 0 79459 19.81193472 4.88099937
81033 45 121 22 0 8 0 81033 20.13360386 4.87703892
84548 46 113 22 0 8 0 84548 19.81787589 4.87062908
87394 47 66 22 0 12 0 87394 26.86202562 4.86729954
89871 48 190 22 0 12 0 89871 26.85812678 4.86194213
90048 49 71 22 0 13 0 90048 27.04693651 4.86182254
95547 50 208 22 0 8 0 95547 20.13030579 4.8535597
99247 51 68 22 0 8 0 99247 20.13921944 4.84680389
100963 52 184 22 0 8 0 100963 20.09247852 4.84170257
101457 53 78 22 0 8 0 101457 20.13826122 4.84234683
102417 54 55 12 0 8 0 102417 19.08148266 4.84181073
103389 55 85 22 0 12 0 103389 26.8547375 4.83964573
103990 56 85 22 0 8 0 103990 20.0546427 4.83887084
106430 57 57 22 0 8 0 106430 20.1379288 4.83534079
107094 58 91 22 0 8 0 107094 20.13110486 4.83296719
115894 59 92 12 0 8 0 115894 20.07251181 4.8181401
123540 60 76 22 0 12 0 123540 22.91895236 4.80770991
126842 61 125 22 0 12 0 126842 24.52925403 4.80179847
127612 62 69 22 0 12 0 127612 24.53889514 4.80158089
125607 63 251 22 0 12 0 125607 24.53555014 4.80114043
133604 64 57 22 0 13 0 133604 27.67593155 4.79336287
132461 65 87 22 0 13 0 132461 27.69533796 4.79392937
133610 66 69 22 0 13 0 133610 27.69102324 4.79245772
134646 67 230 22 0 12 0 134646 22.89455874 4.78951068
137457 68 64 22 0 13 0 137457 27.68572825 4.78808936
139847 69 61 22 0 13 0 139847 27.68378876 4.78365188
140592 70 117 22 0 13 0 140592 27.68714248 4.78343547
145704 71 56 22 0 12 0 145704 22.90549979 4.77637412
145280 72 159 22 0 12 0 145280 22.90105916 4.77555429
148733 73 56 22 0 12 0 148733 22.89717023 4.77269137
